"","state_cens","sector","nobs","empl","member","covered","pctmem","pctcov","state2","unioncovpct_state","idvarstate","state","year","robotpct_state","stateyear","medianhouseinc","unemprate","femalepct","manufemp","healthins","oldage","wage_state"
"53",94,"Total",1711,282352.759958333,48363.4448333333,52810.2583833333,0.171287313103676,0.187036454677582,"AK",18.7036454677582,"Alaska-2019","Alaska","2019",14,"Alaska-2019",75.463,5.8,61.4,4.2,87.8,6.9,55.4152941176471
"54",86,"Total",2406,3027918.54814167,173812.259833333,214284.691583333,0.057403214275837,0.0707696378231049,"AZ",7.07696378231049,"Arizona-2019","Arizona","2019",28.7,"Arizona-2019",62.055,5.1,55.5,7,88.7,9,51.4056
"55",71,"Total",2656,1200676.72558333,61681.1446833333,70786.126275,0.0513719841837883,0.058955192565918,"AR",5.8955192565918,"Arkansas-2019","Arkansas","2019",27.7,"Arkansas-2019",48.952,4.8,53.9,13.8,90.9,10.5,43.2684
"56",93,"Total",13173,16504474.0494167,2499478.58203333,2721644.01815833,0.151442483067513,0.164903402328491,"CA",16.4903402328491,"California-2019","California","2019",19.1,"California-2019",80.44,5.1,58.1,8.7,92.3,10.5,59.1536
"57",84,"Total",2014,2634087.76151667,238503.111625,260140.789783333,0.0905448645353317,0.0987593457102776,"CO",9.87593457102776,"Colorado-2019","Colorado","2019",21.5,"Colorado-2019",77.127,3.7,63.1,6.8,92,7.2,58.29
"58",16,"Total",1721,1680598.08144167,243824.9352,268293.0212,0.145082235336304,0.159641399979591,"CT",15.9641399979591,"Connecticut-2019","Connecticut","2019",16.9,"Connecticut-2019",78.833,5.3,62,9.9,94.1,7.3,58.14875
"59",51,"Total",1639,432587.95075,37745.785475,42886.6942583334,0.0872557461261749,0.0991398245096207,"DE",9.91398245096207,"Delaware-2019","Delaware","2019",8.4,"Delaware-2019",70.176,4.6,58.9,6.9,93.4,7.3,52.2505555555556
"60",53,"Total",2685,360343.650674999,33575.3816583333,36896.9165833333,0.093176007270813,0.102393694221973,"DC",10.2393694221973,"District of Columbia-2019",NA,NA,NA,"NA-NA",NA,NA,NA,NA,NA,NA,NA
"61",59,"Total",6570,8829407.22233337,551027.889633333,666602.737108333,0.0624082535505295,0.0754980146884918,"FL",7.54980146884918,"Florida-2019","Florida","2019",13.6,"Florida-2019",59.227,4.5,55,4.9,86.8,10.7,47.4388
"62",58,"Total",3531,4416491.65050833,179543.616825,222152.6754,0.0406529940664768,0.0503007136285305,"GA",5.03007136285305,"Georgia-2019","Georgia","2019",28,"Georgia-2019",61.98,4.8,58.8,10.6,86.6,10.4,48.134
